"marker","marker_label","units","higher_is","sex_code","sex","source","provisional","row_type","age","n_band","mean","sd","p25","p75","fit","lo50","hi50","k","q","s_pooled","age_min","age_max","n_total","n_bands"
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",18,NA,NA,NA,NA,NA,52.0766,46.1464,58.0067,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",18.5,NA,NA,NA,NA,NA,51.9588,46.0286,57.889,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",19,NA,NA,NA,NA,NA,51.841,45.9109,57.7712,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",19.5,NA,NA,NA,NA,NA,51.7233,45.7931,57.6534,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",20,NA,NA,NA,NA,NA,51.6055,45.6754,57.5357,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",20.5,NA,NA,NA,NA,NA,51.4877,45.5576,57.4179,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",21,NA,NA,NA,NA,NA,51.37,45.4398,57.3001,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",21.5,NA,NA,NA,NA,NA,51.2522,45.3221,57.1824,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",22,NA,NA,NA,NA,NA,51.1344,45.2043,57.0646,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",22.5,NA,NA,NA,NA,NA,51.0167,45.0865,56.9468,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",23,NA,NA,NA,NA,NA,50.8989,44.9688,56.8291,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",23.5,NA,NA,NA,NA,NA,50.7811,44.851,56.7113,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",24,NA,NA,NA,NA,NA,50.6634,44.7332,56.5935,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",24.5,NA,NA,NA,NA,NA,50.5456,44.6155,56.4758,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",25,NA,NA,NA,NA,NA,50.4279,44.4977,56.358,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",25.5,NA,NA,NA,NA,NA,50.3101,44.3799,56.2402,-0.23553,56.3161,8.7921,18,80,NA,0
"grip","Grip strength","kg","younger",1,"Men","NHANES 2011-2014",FALSE,"fit",26,NA,NA,NA,NA,NA,50.1923,44.2622,56.1225,-0.23553,56.3161,8.7921,18,80,NA,0
