# Sit-and-reach flexibility, one-leg balance, and modified push-ups.
# Kjaer IGH, Torstveit MK, Kolle E, Hansen BH, Anderssen SA. 2016,
# BMC Sports Sci Med Rehabil 8:37 (doi:10.1186/s13102-016-0059-4, PMC5116214). 726 healthy
# Norwegian adults aged 20-64.9 (F=350, M=376), ONE population -> no intercept
# mismatch between these three markers. sex: 1=male, 2=female.
# PROTOCOLS (the app's tests must match these):
#   sit_reach     = cm reached, straight back, hamstring flexibility
#   balance_oneleg= OLSsum = one-leg stand eyes-OPEN + eyes-CLOSED, each cap 60 s,
#                   summed (max 120 s). NB: authors question OLSsum's validity as balance.
#   pushups_mod   = MPU (modified push-up), reps in 40 s. NOT the on-knees MPUK
#                   (MPUK had usable norms for women only; men n=21, excluded).
# n per age band not reported per cell; approximated as equal split (F~70, M~75).
bm,sex,age_mid,mean,sd,n
# --- sit-and-reach (cm) ---
sit_reach,2,25,24.4,14.8,70
sit_reach,2,35,29.0,14.3,70
sit_reach,2,45,22.3,13.1,70
sit_reach,2,55,23.8,10.6,70
sit_reach,2,62.5,22.1,13.1,70
sit_reach,1,25,20.8,11.0,75
sit_reach,1,35,21.1,12.2,75
sit_reach,1,45,20.2,12.6,75
sit_reach,1,55,16.5,11.8,75
sit_reach,1,62.5,16.8,10.9,75
# --- one-leg balance (OLSsum, max 120 s) ---
balance_oneleg,2,25,72.7,23.4,70
balance_oneleg,2,35,67.5,19.7,70
balance_oneleg,2,45,58.9,17.2,70
balance_oneleg,2,55,50.7,21.7,70
balance_oneleg,2,62.5,39.5,23.2,70
balance_oneleg,1,25,66.4,13.4,75
balance_oneleg,1,35,66.6,16.2,75
balance_oneleg,1,45,60.2,21.5,75
balance_oneleg,1,55,50.3,21.2,75
balance_oneleg,1,62.5,33.8,24.2,75
# --- modified push-ups (reps in 40 s) ---
pushups_mod,2,25,10.3,4.2,70
pushups_mod,2,35,9.5,4.4,70
pushups_mod,2,45,7.7,3.9,70
pushups_mod,2,55,7.8,4.5,70
pushups_mod,2,62.5,5.1,3.0,70
pushups_mod,1,25,14.2,3.2,75
pushups_mod,1,35,14.3,5.0,75
pushups_mod,1,45,12.6,4.7,75
pushups_mod,1,55,10.5,4.0,75
pushups_mod,1,62.5,8.4,3.4,75
